name,latitude,longitude,location,address,description,source_page,extraction_method,raw_data
SH6 Shanghai Data Center,31.31723,121.623306,上海市,,,1,JSON,"{'name': 'SH6 Shanghai Data Center', 'latitude': 31.31723, 'longitude': 121.623306, 'address': '', 'description': ''}"
SH5 Yangpu District Data Center,31.2767859,121.541634,上海市,,,1,JSON,"{'name': 'SH5 Yangpu District Data Center', 'latitude': 31.2767859, 'longitude': 121.541634, 'address': '', 'description': ''}"
SH3 Pudong New Area Data Center,31.246309,121.620621,上海市,,,1,JSON,"{'name': 'SH3 Pudong New Area Data Center', 'latitude': 31.246309, 'longitude': 121.620621, 'address': '', 'description': ''}"
China East-Shanghai,31.230416,121.473701,上海市,,,1,JSON,"{'name': 'China East-Shanghai', 'latitude': 31.230416, 'longitude': 121.473701, 'address': '', 'description': ''}"
China East 2-Shanghai,31.230416,121.473701,上海市,,,1,JSON,"{'name': 'China East 2-Shanghai', 'latitude': 31.230416, 'longitude': 121.473701, 'address': '', 'description': ''}"
Shanghai Data Center,31.230416,121.473701,上海市,,,1,JSON,"{'name': 'Shanghai Data Center', 'latitude': 31.230416, 'longitude': 121.473701, 'address': '', 'description': ''}"
Shanghai Telecom Caoxi Data Center,31.1837487,121.4371364,上海市,,,1,JSON,"{'name': 'Shanghai Telecom Caoxi Data Center', 'latitude': 31.1837487, 'longitude': 121.4371364, 'address': '', 'description': ''}"
"GDS SH3, SH4 Data Center",31.320884,121.606972,上海市,,,1,JSON,"{'name': 'GDS SH3, SH4 Data Center', 'latitude': 31.320884, 'longitude': 121.606972, 'address': '', 'description': ''}"
Information Park Data Center,31.221517,121.544379,上海市,,,1,JSON,"{'name': 'Information Park Data Center', 'latitude': 31.221517, 'longitude': 121.544379, 'address': '', 'description': ''}"
SHA5 Shanghai Data Center,31.276205,121.541897,上海市,,,1,JSON,"{'name': 'SHA5 Shanghai Data Center', 'latitude': 31.276205, 'longitude': 121.541897, 'address': '', 'description': ''}"
Shanghai Hulan IDC Data Center,31.344898,121.451176,上海市,,,1,JSON,"{'name': 'Shanghai Hulan IDC Data Center', 'latitude': 31.344898, 'longitude': 121.451176, 'address': '', 'description': ''}"
Shanghai Hotline Information Building Data Center,31.2341239,121.509968,上海市,,,1,JSON,"{'name': 'Shanghai Hotline Information Building Data Center', 'latitude': 31.2341239, 'longitude': 121.509968, 'address': '', 'description': ''}"
